"";"CrossVal";"VarSel";"numGenes";"Classif";"misclassification";"sensitivity";"specificity"
"1";"fiveF";"tttest";2;"dldaCMA";0,0232222222222222;0,9775;0,9762
"2";"fiveF";"tttest";2;"knnCMA";0,0364166666666667;0,967;0,9605
"3";"fiveF";"tttest";2;"rfCMA";0,0429444444444444;0,953;0,9604
"4";"fiveF";"tttest";2;"scdaCMA";0,0232222222222222;0,9775;0,9762
"5";"fiveF";"tttest";2;"svmCMA";0,0244166666666667;0,971;0,9798
"6";"fiveF";"tttest";5;"dldaCMA";0;1;1
"7";"fiveF";"tttest";5;"knnCMA";0,011;1;0,9792
"8";"fiveF";"tttest";5;"rfCMA";0,0135555555555556;0,978;0,994
"9";"fiveF";"tttest";5;"scdaCMA";0;1;1
"10";"fiveF";"tttest";5;"svmCMA";0,000222222222222222;0,9995;1
"11";"fiveF";"tttest";10;"dldaCMA";0,000222222222222222;1;0,9996
"12";"fiveF";"tttest";10;"knnCMA";0;1;1
"13";"fiveF";"tttest";10;"rfCMA";0,00838888888888889;0,985;0,9974
"14";"fiveF";"tttest";10;"scdaCMA";0,000222222222222222;1;0,9996
"15";"fiveF";"tttest";10;"svmCMA";0;1;1
"16";"fiveF";"tttest";25;"dldaCMA";0,0225;0,9835;0,9722
"17";"fiveF";"tttest";25;"knnCMA";0,0292222222222222;0,9815;0,9614
"18";"fiveF";"tttest";25;"rfCMA";0,04225;0,9685;0,9484
"19";"fiveF";"tttest";25;"scdaCMA";0,0227222222222222;0,9835;0,9718
"20";"fiveF";"tttest";25;"svmCMA";0,0193055555555556;0,982;0,9795
"21";"fiveF";"rfe";2;"dldaCMA";0,00725;0,9975;0,9887
"22";"fiveF";"rfe";2;"knnCMA";0,0148611111111111;0,9955;0,976
"23";"fiveF";"rfe";2;"rfCMA";0,0249166666666667;0,974;0,976
"24";"fiveF";"rfe";2;"scdaCMA";0,00725;0,9975;0,9887
"25";"fiveF";"rfe";2;"svmCMA";0,00611111111111111;0,9945;0,9936
"26";"fiveF";"rfe";5;"dldaCMA";0,00166666666666667;1;0,9968
"27";"fiveF";"rfe";5;"knnCMA";0,000722222222222222;1;0,9986
"28";"fiveF";"rfe";5;"rfCMA";0,0105;0,9835;0,9949
"29";"fiveF";"rfe";5;"scdaCMA";0,00166666666666667;1;0,9968
"30";"fiveF";"rfe";5;"svmCMA";0,000916666666666667;1;0,9983
"31";"fiveF";"rfe";10;"dldaCMA";0,0212;0,980571428571429;0,97725
"32";"fiveF";"rfe";10;"knnCMA";0,0292;0,973714285714286;0,96825
"33";"fiveF";"rfe";10;"rfCMA";0,0344;0,964571428571429;0,9665
"34";"fiveF";"rfe";10;"scdaCMA";0,0212;0,980571428571429;0,97725
"35";"fiveF";"rfe";10;"svmCMA";0,0204;0,976857142857143;0,982
"36";"fiveF";"rfe";25;"dldaCMA";0,002;0,997142857142857;0,99875
"37";"fiveF";"rfe";25;"knnCMA";0,0112;0,997142857142857;0,9815
"38";"fiveF";"rfe";25;"rfCMA";0,0142666666666667;0,980571428571429;0,99025
"39";"fiveF";"rfe";25;"scdaCMA";0,002;0,997142857142857;0,99875
"40";"fiveF";"rfe";25;"svmCMA";0,0024;0,996857142857143;0,99825
"41";"fiveF";"lasso";2;"dldaCMA";0,00173333333333333;1;0,99675
"42";"fiveF";"lasso";2;"knnCMA";0,000533333333333333;1;0,999
"43";"fiveF";"lasso";2;"rfCMA";0,00653333333333333;0,991428571428571;0,99525
"44";"fiveF";"lasso";2;"scdaCMA";0,00173333333333333;1;0,99675
"45";"fiveF";"lasso";2;"svmCMA";0,000533333333333333;1;0,999
"46";"fiveF";"lasso";5;"dldaCMA";0,0201333333333333;0,986857142857143;0,97375
"47";"fiveF";"lasso";5;"knnCMA";0,0285333333333333;0,98;0,964
"48";"fiveF";"lasso";5;"rfCMA";0,0388;0,966571428571429;0,9565
"49";"fiveF";"lasso";5;"scdaCMA";0,02;0,987142857142857;0,97375
"50";"fiveF";"lasso";5;"svmCMA";0,0182666666666667;0,983142857142857;0,9805
"51";"fiveF";"lasso";10;"dldaCMA";0,0092;0,996571428571429;0,98575
"52";"fiveF";"lasso";10;"knnCMA";0,0137333333333333;0,994857142857143;0,97875
"53";"fiveF";"lasso";10;"rfCMA";0,0190666666666667;0,980857142857143;0,981
"54";"fiveF";"lasso";10;"scdaCMA";0,0092;0,996571428571429;0,98575
"55";"fiveF";"lasso";10;"svmCMA";0,00826666666666667;0,994;0,98975
"56";"fiveF";"lasso";25;"dldaCMA";0,0044;1;0,99175
"57";"fiveF";"lasso";25;"knnCMA";0,00253333333333333;0,999714285714286;0,9955
"58";"fiveF";"lasso";25;"rfCMA";0,00893333333333333;0,989428571428571;0,9925
"59";"fiveF";"lasso";25;"scdaCMA";0,0044;1;0,99175
"60";"fiveF";"lasso";25;"svmCMA";0,0024;0,999714285714286;0,99575
"61";"mccv";"tttest";2;"dldaCMA";0,0232222222222222;0,9775;0,9762
"62";"mccv";"tttest";2;"knnCMA";0,0364166666666667;0,967;0,9605
"63";"mccv";"tttest";2;"rfCMA";0,0429444444444444;0,953;0,9604
"64";"mccv";"tttest";2;"scdaCMA";0,0232222222222222;0,9775;0,9762
"65";"mccv";"tttest";2;"svmCMA";0,0244166666666667;0,971;0,9798
"66";"mccv";"tttest";5;"dldaCMA";0;1;1
"67";"mccv";"tttest";5;"knnCMA";0,011;1;0,9792
"68";"mccv";"tttest";5;"rfCMA";0,0135555555555556;0,978;0,994
"69";"mccv";"tttest";5;"scdaCMA";0;1;1
"70";"mccv";"tttest";5;"svmCMA";0,000222222222222222;0,9995;1
"71";"mccv";"tttest";10;"dldaCMA";0,000222222222222222;1;0,9996
"72";"mccv";"tttest";10;"knnCMA";0;1;1
"73";"mccv";"tttest";10;"rfCMA";0,00838888888888889;0,985;0,9974
"74";"mccv";"tttest";10;"scdaCMA";0,000222222222222222;1;0,9996
"75";"mccv";"tttest";10;"svmCMA";0;1;1
"76";"mccv";"tttest";25;"dldaCMA";0,0225;0,9835;0,9722
"77";"mccv";"tttest";25;"knnCMA";0,0292222222222222;0,9815;0,9614
"78";"mccv";"tttest";25;"rfCMA";0,04225;0,9685;0,9484
"79";"mccv";"tttest";25;"scdaCMA";0,0227222222222222;0,9835;0,9718
"80";"mccv";"tttest";25;"svmCMA";0,0193055555555556;0,982;0,9795
"81";"mccv";"rfe";2;"dldaCMA";0,00725;0,9975;0,9887
"82";"mccv";"rfe";2;"knnCMA";0,0148611111111111;0,9955;0,976
"83";"mccv";"rfe";2;"rfCMA";0,0249166666666667;0,974;0,976
"84";"mccv";"rfe";2;"scdaCMA";0,00725;0,9975;0,9887
"85";"mccv";"rfe";2;"svmCMA";0,00611111111111111;0,9945;0,9936
"86";"mccv";"rfe";5;"dldaCMA";0,00166666666666667;1;0,9968
"87";"mccv";"rfe";5;"knnCMA";0,000722222222222222;1;0,9986
"88";"mccv";"rfe";5;"rfCMA";0,0105;0,9835;0,9949
"89";"mccv";"rfe";5;"scdaCMA";0,00166666666666667;1;0,9968
